,Group,Species,Subgroup,Taxonomic Domain,Expressed in Species,Secondary Bibliogrpahies,rcsb_entry_info_experimental_method,rcsb_entry_info_polymer_composition,rcsb_entry_info_selected_polymer_entity_types,symmetry_space_group_name_hm,diffrn_radiation_pdbx_scattering_type,diffrn_radiation_pdbx_monochromatic_or_laue_ml,exptl_method,diffrn_detector_detector,diffrn_source_source
1295,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,Komagataella pastoris,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1296,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,Sf9 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1297,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK tsA201 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1298,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,insect cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1299,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1300,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1301,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1302,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Mus musculus,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1303,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1304,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1305,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Takifugu bimaculatus,Channels: Other Ion Channels,Eukaryota,Komagataella pastoris,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1306,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Mus musculus,Channels: Other Ion Channels,Eukaryota,,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1307,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Machilis hrabei,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1308,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Arabidopsis thaliana,Channels: Other Ion Channels,Eukaryota,HEK293 cells,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1309,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bordetella pertussis,Channels: Fluc Family,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1310,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bordetella pertussis,Channels: Fluc Family,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1311,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Fluc Family,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1312,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Fluc Family,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1313,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Fluc Family,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1314,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bos taurus (Bovine) lens,Channels: Aquaporins and Glyceroporins,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1315,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Ovis aries,Channels: Aquaporins and Glyceroporins,Eukaryota,,,EM,homomeric protein,Protein (only),P 4 2 2,electron,M,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1316,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Ovis aries,Channels: Aquaporins and Glyceroporins,Eukaryota,,,EM,homomeric protein,Protein (only),P 4 2 2,electron,M,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1317,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Ovis aries,Channels: Aquaporins and Glyceroporins,Eukaryota,,,EM,homomeric protein,Protein (only),P 4 2 2,,,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1318,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,,,EM,homomeric protein,Protein (only),P 4 21 2,electron,M,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1319,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,,,EM,homomeric protein,Protein (only),P 4 21 2,electron,M,ELECTRON CRYSTALLOGRAPHY,,
1320,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,S. frugiperda,,X-ray,homomeric protein,Protein (only),I 4 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1321,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella pastoris,,NMR,homomeric protein,Protein (only),,,,SOLID-STATE NMR,,
1322,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bos taurus,Channels: Aquaporins and Glyceroporins,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 4 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,
1323,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),P 42,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1324,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella phaffii,,X-ray,homomeric protein,Protein (only),P 42,x-ray,M,X-RAY DIFFRACTION,PIXEL,FREE ELECTRON LASER
1325,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Rattus norvegicus,Channels: Aquaporins and Glyceroporins,Eukaryota,S. frugiperda,,EM,homomeric protein,Protein (only),P 4 21 2,electron,M,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1326,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Rattus norvegicus ,Channels: Aquaporins and Glyceroporins,Eukaryota,S. frugiperda,,EM,homomeric protein,Protein (only),P 4 21 2,electron,M,ELECTRON CRYSTALLOGRAPHY,CCD,ELECTRON MICROSCOPE
1327,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1328,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1329,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella pastoris,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1330,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella pastoris,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1331,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Aquaporins and Glyceroporins,Eukaryota,S. cerevisiae,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1332,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Methanothermobacter marburgensis,Channels: Aquaporins and Glyceroporins,Archaea,E. coli,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1333,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1334,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 41 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1335,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1336,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1337,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Spinacia oleracea,Channels: Aquaporins and Glyceroporins,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1338,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Spinacia oleracea,Channels: Aquaporins and Glyceroporins,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1339,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Arabidopsis thaliana,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella pastoris,,X-ray,homomeric protein,Protein (only),P 63 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1340,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Arabidopsis thaliana,Channels: Aquaporins and Glyceroporins,Eukaryota,Komagataella pastoris,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1341,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),I 4 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1342,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Aquaporins and Glyceroporins,Bacteria,,,X-ray,homomeric protein,Protein (only),I 4 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1343,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Plasmodium falciparum,Channels: Aquaporins and Glyceroporins,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 4 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1344,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Pischia pastoris,Channels: Aquaporins and Glyceroporins,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1345,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Pischia pastoris,Channels: Aquaporins and Glyceroporins,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 4,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1346,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Oryza sativa,Channels: Aquaporins and Glyceroporins,Eukaryota,Saccharomyces cerevisiae,,X-ray,homomeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1347,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Oryza sativa,Channels: Aquaporins and Glyceroporins,Eukaryota,Spodoptera frugiperda,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1348,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels : Formate/Nitrite Transporter (FNT) Family,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1349,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Vibrio cholerae,Channels : Formate/Nitrite Transporter (FNT) Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1350,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Salmonella typhimurium,Channels : Formate/Nitrite Transporter (FNT) Family,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1351,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Clostridium difficile,Channels : Formate/Nitrite Transporter (FNT) Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1352,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Plasmodium falciparum,Channels : Formate/Nitrite Transporter (FNT) Family,Eukaryota,HEK293 cells,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1353,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Desulfovibrio vulgaris,Channels: Urea Transporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 63,,,X-RAY DIFFRACTION,CCD,
1354,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bos taurus,Channels: Urea Transporters,Eukaryota,S. frugiperda,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1355,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Helicobacter pylori ,Channels: Urea Transporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 42 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1356,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis,Channels:  Intercellular,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1357,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis,Channels:  Intercellular,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1358,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1359,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1360,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1361,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1362,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,heteromeric protein,Protein (only),H 3 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1363,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1364,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Channels: Amt/Mep/Rh proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),H 3 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1365,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Archaeoglobus fulgidus,Channels: Amt/Mep/Rh proteins,Archaea,E. coli,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1366,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Nitrosomonas europaea,Channels: Amt/Mep/Rh proteins,Bacteria,Methylococcus capsulatus,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1367,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Nitrosomonas europaea,Channels: Amt/Mep/Rh proteins,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1368,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Channels: Amt/Mep/Rh proteins,Eukaryota,HEK293s cells,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1369,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Saccharomyces cerevisiae,Channels: Amt/Mep/Rh proteins,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1370,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Candida albicans,Channels: Amt/Mep/Rh proteins,Eukaryota,S. cerevisiae,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1371,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Candidatus (Kuenenia stuttgartiensis),Channels: Amt/Mep/Rh proteins,Bacteria,E. colli,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1372,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Torpedo marmorata,Cys-Loop Receptor Family,Eukaryota,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1373,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Torpedo marmorata,Cys-Loop Receptor Family,Eukaryota,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1374,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Torpedo marmorata,Cys-Loop Receptor Family,Eukaryota,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1375,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Tetronarce californica,Cys-Loop Receptor Family,Eukaryota,,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1376,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Tetronarce californica,Cys-Loop Receptor Family,Eukaryota,,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1377,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Tetronarce californica,Cys-Loop Receptor Family,Eukaryota,,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1378,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Tetronarce californica,Cys-Loop Receptor Family,Eukaryota,,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1379,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Cys-Loop Receptor Family,Eukaryota,HEK293S,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1380,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Cys-Loop Receptor Family,Eukaryota,HEK cells,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1381,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Cys-Loop Receptor Family,Eukaryota,HEK293 cells,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1382,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Homo sapiens,Cys-Loop Receptor Family,Eukaryota,HEK293 cells,,EM,protein/oligosaccharide,Protein/Oligosaccharide,,,,ELECTRON MICROSCOPY,,
1383,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Erwinia chrysanthemi,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,,SYNCHROTRON
1384,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Erwinia chrysanthemi,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1385,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Erwinia chrysanthemi,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,,SYNCHROTRON
1386,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Dickeya chrysanthemi ,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1387,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Dickeya chrysanthemi,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1388,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Dickeya dadantii,Cys-Loop Receptor Family,Bacteria,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
1389,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Dickeya chrysanthemi,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1390,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1391,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1392,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1393,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1394,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1395,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1396,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1397,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,D. melanogaster,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1398,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1399,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1400,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
1401,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
1402,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Gloeobacter violaceus,Cys-Loop Receptor Family,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
